OBJECTID,SITE_NO,LAN_FA_TY,LOCID,EFF_DATE,FAA_REGION,FAA_DISTRI,FAA_ST,STATE_NAME,COUNTY_NAM,COUNTY_ST,CITY_NAME,FULLNAME,OWNER_TYPE,FAC_USE,FAC_CYSTZP,ELEV,AERO_CHART,CBD_DIST,CBD_DIR,ACT_DATE,CERT_TYPE,FED_AGREE,INTERNATIO,CUST_LNDG,JOINT_USE,MIL_LNDG_R,MIL_INT,CNTL_TWR,S_ENG_GA,M_ENG_GA,JET_EN_GA,HELICOPTER,OPER_GLIDE,OPER_MIL,ULTRALIGHT,COMM_SERV,AIR_TAXI,LOCAL_OPS_,ITIN_OPS_G,MIL_OPS,LATITUDE,LONGITUDE,STFIPS,ST_POSTAL,CY_05_ENP,VERSION
157,17374.*A,AIRPORT,K74,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,KINDRED,HAMRY FIELD,PU,PU,"KINDRED, ND 58051",946,TWIN CITIES,01,E, , ,N, , , , , ,N,018,002, , , ,003, , ,000030,003000,001000,000020,46.6487611111,-96.99858055560001,38,ND,0,10
66,17292.*A,AIRPORT,D50,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,DIVIDE,ND,CROSBY,CROSBY MUNI,PU,PU,"CROSBY, ND 58730",1950,BILLINGS,01,N, , ,NGY,N,N,N,Y, ,N,012,002, , , , , , ,000100,001400,000500,000020,48.9285155556,-103.29725138890001,38,ND,0,10
284,17473.83*A,AIRPORT,21ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC HENRY,ND,UPHAM,ROSENAU,PR,PR,"UPHAM, ND 58789",1450,TWIN CITIES,04,W, , , , , , , , ,N, , , , , , , , , , , , ,48.5822344444,-100.8554222222,38,ND,0,10
130,17355.*A,AIRPORT,5H4,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WELLS,ND,HARVEY,HARVEY MUNI,PU,PU,"HARVEY, ND 58341",1605,TWIN CITIES,01,N, , ,NGY,N,N,N,N, ,N,006, , , , , , , ,000030,000600,000400, ,47.791233055599996,-99.9317422222,38,ND,0,10
2,17243.9*A,AIRPORT,NA92,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WILLIAMS,ND,ALAMO,ROY LOHSE,PR,PR,"ALAMO, ND 58830",2124,BILLINGS,00,S,10/1982, , , , , , , ,N,003, , ,001, , , , , , , , ,48.5786391667,-103.46630055560001,38,ND,0,10
249,17457.01*A,AIRPORT,NA49,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,PIERCE,ND,RUGBY,PAUL AIRSTRIP,PR,PR,"RUGBY, ND 58368",1530,TWIN CITIES,04,NW,06/1982, , , , , , , ,N,001, , , , , , , , , , , ,48.4177755556,-100.05458,38,ND,0,10
170,17390.*A,AIRPORT,5ND4,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RICHLAND,ND,LIDGERWOOD,TESCH STRIP,PR,PR,"LIDGERWOOD, ND 58053",1114,TWIN CITIES,06,NW, , , , , , , , ,N,001, , , , , , , , , , , ,46.1435719444,-97.24314638890002,38,ND,0,10
235,17451.3*A,AIRPORT,6ND6,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,STEELE,ND,PORTLAND,FUGLEBERG FARM,PR,PR,"PORTLAND, ND 58274",1090,TWIN CITIES,09,NW, , , , , , , , ,N,001, , , , , , , , , , , ,47.5166544444,-97.5503688889,38,ND,0,10
295,17490.84*A,AIRPORT,ND52,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,WEST FARGO,TRUE NORTH AIRPARK,PR,PR,"FARGO, ND 58104",913,TWIN CITIES,11,SW,05/2006, , , , , , , ,N, , , , , , , , , , , , ,46.8027777778,-97.01222222220001,38,ND,0,10
74,17302.01*H,HELIPORT,8NA7,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RAMSEY,ND,DEVILS LAKE,CAMP GRAFTON,PU,PR,"BISMARK, ND 58502-5511",1469,TWIN CITIES,04,S, , , , , , , , ,N, , , ,010, , , , , , , , ,48.0625,-98.9292886111,38,ND,0,10
43,17278.3*A,AIRPORT,5ND0,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WILLIAMS,ND,BUFORD,STIEHL,PR,PR,"BUFORD, ND 58803",2277,BILLINGS,05,NW, , , , , , , , ,N,001, , , , , , , , , , , ,48.076409999999996,-104.0324330556,38,ND,0,10
47,17279.1*A,AIRPORT,9D7,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,TOWNER,ND,CANDO,CANDO MUNI,PU,PU,"CANDO, ND 58324",1478,TWIN CITIES,01,W, , ,N1,N,N,N, , ,N,005, , , , , , , ,000050,002600,000900, ,48.4799722222,-99.23591944440001,38,ND,0,10
141,17360.*A,AIRPORT,HEI,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,ADAMS,ND,HETTINGER,HETTINGER MUNI,PU,PU,"HETTINGER, ND 58639",2705,BILLINGS,01,NW, , ,NGY,N,N,N,Y, ,N,019,001, , , , , , ,000300,001500,001000,000030,46.0149444444,-102.6559722222,38,ND,0,10
250,17457.08*A,AIRPORT,NA03,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,RUSSELL,BOLL BROTHERS AIRSTRIP,PR,PR,"NEWBURG, ND 58762",1453,BILLINGS,02,E, , , , , , , , ,N,002, , , , , , , , , , , ,48.6725144444,-100.85820333330001,38,ND,0,10
64,17287.21*A,AIRPORT,6NA0,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BURKE,ND,COLUMBUS,STROM PRIVATE,PR,PR,"PORTAL, ND 58772",1930,BILLINGS,06,NNE,07/1985, , , , , , , ,N,003, , , , , , , , , , , ,48.9930883333,-102.73795055560001,38,ND,0,10
37,17270.3*A,AIRPORT,7ND5,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WELLS,ND,BOWDON,BUCHMILLER,PR,PR,"BOWDON, ND 58418",1850,TWIN CITIES,08,SE, , , , , , , , ,N,003, , , , , , , , , , , ,47.3597188889,-99.6226161111,38,ND,0,10
200,17407.81*A,AIRPORT,2ND2,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC LEAN,ND,MERCER,MAKEEFF,PR,PR,"MERCER, ND 58559",1910,TWIN CITIES,04,N, , , , , , , , ,N,001, , , , , , , , , , , ,47.5669433333,-100.7212477778,38,ND,0,10
294,17490.82*A,AIRPORT,NA17,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,WEST FARGO,JACOB GUST,PR,PR,"FARGO, ND 58102",895,TWIN CITIES,03,N, , , , , , , , ,N,004, , , , , , , , , , , ,46.9427461111,-96.9289727778,38,ND,0,10
231,17443.*A,AIRPORT,Y74,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MOUNTRAIL,ND,PARSHALL,PARSHALL-HANKINS,PU,PU,"PARSHALL, ND 58770",2031,BILLINGS,01,S, , ,NGY,N,N,N,Y, ,N,008, , , , , , , ,000050,000500,000200,000010,47.9364008333,-102.1421141667,38,ND,0,10
293,17488.1*A,AIRPORT,S25,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC KENZIE,ND,WATFORD CITY,WATFORD CITY MUNI,PU,PU,"WATFORD CITY, ND 58854",2109,BILLINGS,01,SE, , ,NGY,N,N,N,Y, ,N,011,001, , , , , , ,000300,001000,000800, ,47.7956997222,-103.2536991667,38,ND,0,10
11,17246.*A,AIRPORT,4NA3,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,ANTLER,PETERSON AIRSTRIP,PR,PR,"ANTLER, ND 58711",1545,BILLINGS,08,S,07/1985, , , , , , , ,N,001, , , , , , , , , , , ,48.8572427778,-101.3021036111,38,ND,0,10
124,17354.22*A,AIRPORT,GWR,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,SARGENT,ND,GWINNER,GWINNER-ROGER MELROE FIELD,PU,PU,"GWINNER, ND 58040",1266,TWIN CITIES,01,SE, , ,NGY,N,N,N,Y, ,N,007,001, , , , , , ,002100,000800,000800, ,46.2187222222,-97.64325,38,ND,0,10
143,17362.*A,AIRPORT,7NA0,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,TRAILL,ND,HILLSBORO,DOWNS FARM PVT,PR,PR,"HILLSBORO, ND 58045",900,TWIN CITIES,03,S,04/1986, , , , , , , ,N, , , , , , , , , , , , ,47.3574786111,-97.0281408333,38,ND,0,10
20,17254.75*A,AIRPORT,NA25,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC HENRY,ND,BANTRY,HOLEN AERIAL SPRAY AIRSTRIP,PR,PR,"UPHAM, ND 58789",1460,BILLINGS,02,W,04/1982, , , , , , , ,N,001, , , , , , , , , , , ,48.4986116667,-100.65263277780001,38,ND,0,10
86,17320.1*A,AIRPORT,4E7,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,DICKEY,ND,ELLENDALE,ELLENDALE MUNI,PU,PU,"ELLENDALE, ND 58436",1455,TWIN CITIES,01,NE, , ,NGY,N,N,N,Y, ,N,004, , , , , , , ,000050,001800,000200, ,46.0124719444,-98.5128788889,38,ND,3,10
80,17310.1*A,AIRPORT,S28,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,ROLETTE,ND,DUNSEITH,INTL PEACE GARDEN,PU,PU,"BISMARCK, ND 58502",2314,TWIN CITIES,11,N, , ,NGY,N,Y,N,Y, ,N, , , , , , , , ,000050, ,000250, ,48.9977819444,-100.0434588889,38,ND,0,10
181,17399.55*A,AIRPORT,7G2,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,SHERIDAN,ND,MC CLUSKY,MC CLUSKY MUNI,PU,PU,"MC CLUSKY, ND 58463",1900,TWIN CITIES,02,SW, , , ,N,N, , , ,N,002, , , , , , , ,000010,000300,000200, ,47.462219722200004,-100.48734972220001,38,ND,0,10
88,17321.01*A,AIRPORT,ND47,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,ENDERLIN,GESKE AIRFIELD,PR,PR,"ENDERLIN, ND 58027-9505",1103,TWIN CITIES,03,ENE,11/2002, , , , , , , ,N, , , , , , , , , , , , ,46.640805555600004,-97.5511222222,38,ND,0,10
17,17253.*A,AIRPORT,ASY,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC INTOSH,ND,ASHLEY,ASHLEY MUNI,PU,PU,"ASHLEY, ND 58413",2032,TWIN CITIES,01,SE, , , ,N,N,N,N, ,N,003, , , , , , , ,000200,000400,000600, ,46.023862777800005,-99.35261416670001,38,ND,0,10
261,17462.36*A,AIRPORT,7NA9,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,SOURIS,SJULE PVT AIRSTRIP,PR,PR,"SOURIS, ND 58783",1680,TWIN CITIES,05,NE,04/1986, , , , , , , ,N, , , , , , , , , , , , ,48.9283483333,-100.57792777780001,38,ND,0,10
258,17462.25*A,AIRPORT,NA06,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BENSON,ND,SHEYENNE,BOURET RANCH,PR,PR,"SHEYENNE, ND 58374",1505,TWIN CITIES,06,NE, , , , , , , , ,N,001, , , , , , , , , , , ,47.8627755556,-98.9726175,38,ND,0,10
61,17285.993*A,AIRPORT,3NA0,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,STEELE,ND,CLIFFORD,ERICKSON,PR,PR,"PORTLAND, ND 58274",1095,TWIN CITIES,06,NW,11/1984, , , , , , , ,N,001, , , , , , , , , , , ,47.4166538889,-97.5114791667,38,ND,0,10
5,17244.33*A,AIRPORT,26ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC KENZIE,ND,ALEXANDER,CHITWOOD AIRSTRIP,PR,PR,"ALEXANDER, ND 58831",2180,BILLINGS,08,S, , , , , , , , ,N,001, , , , , , , , , , , ,47.709739166700004,-103.6435311111,38,ND,0,10
217,17430.95*A,AIRPORT,2ND7,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,NEWBURG,JOHNSON,PR,PR,"SOURIS, ND 58783",1460,TWIN CITIES,05,NE, , , , , , , , ,N,001, , , , , , , , , , , ,48.7516813889,-100.8140372222,38,ND,0,10
48,17279.12*H,HELIPORT,ND28,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,TOWNER,ND,CANDO,TOWNER COUNTY MEDICAL CENTER,PR,PR,"CANDO, ND 58324",1485,TWIN CITIES,00,NW,09/2002, , , , , , , ,N, , , , , , , , , , , , ,48.4930833333,-99.21152777780001,38,ND,0,10
276,17470.5*A,AIRPORT,NA12,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC LEAN,ND,TURTLE LAKE,JOHNSON PRIVATE,PR,PR,"TURTLE LAKE, ND 58575",1920,TWIN CITIES,06,SE, , , , , , , , ,N,001, , , , , , , , , , , ,47.4316633333,-100.84152805560001,38,ND,0,10
115,17349.1*A,AIRPORT,GFK,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,GRAND FORKS,ND,GRAND FORKS,GRAND FORKS INTL,PU,PU,"GRAND FORKS, ND 58203",845,TWIN CITIES,05,NW, ,I B S 05/1973,NGY,Y,Y,N,Y, ,Y,078,018,002,008, , , ,003769,066500,141864,012490,000319,47.94925,-97.1761111111,38,ND,88065,10
107,17338.3*A,AIRPORT,ND22,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC LEAN,ND,GARRISON,FISCHER PVT,PR,PR,"GARRISON, ND 58540",2065,BILLINGS,08,NW, , , , , ,N,N, ,N,002, , , , , , , , , , , ,47.6833347222,-101.6004422222,38,ND,0,10
278,17470.512*A,AIRPORT,NA79,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC LEAN,ND,TURTLE LAKE,PHILBRICK PVT. AIRSTRIP,PR,PR,"TURTLE LAKE, ND 58575-9716",1915,TWIN CITIES,07,S,07/1982, , , , , , , ,N,001, , , , , , , , , , , ,47.4041625,-100.8823625,38,ND,0,10
300,17495.01*A,AIRPORT,NA18,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WILLIAMS,ND,WILLISTON,HOUGHT AIRSTRIP,PR,PR,"WILLISTON, ND 58801",2400,BILLINGS,22,NW, , , , , , , , ,N,001, , , , , , , , , , , ,48.4133583333,-103.83576,38,ND,0,10
262,17463.01*A,AIRPORT,08D,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MOUNTRAIL,ND,STANLEY,STANLEY MUNI,PU,PU,"STANLEY, ND 58784",2245,BILLINGS,01,SW, , ,NGY,N,N,N,Y, ,N,011, , , , , , , ,000100,000700,000740, ,48.30079861110001,-102.4063513889,38,ND,0,10
83,17319.4*A,AIRPORT,NA32,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,STUTSMAN,ND,ELDRIDGE,JOHNSON AIRSTRIP,PR,PR,"ELDRIDGE, ND 58401",1548,TWIN CITIES,01,W,06/1982, , , , , , , ,N,003, , , , , , , , , , , ,46.8985986111,-98.85871777780001,38,ND,0,10
138,17357.01*H,HELIPORT,ND50,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MERCER,ND,HAZEN,SAKAKAWEA MEDICAL CENTER,PU,PR,"HAZEN, ND 58545",1756,BILLINGS,00,N,03/1993, , , , , , , ,N, , , , , , , , , , , , ,47.2983366667,-101.6129425,38,ND,0,10
50,17280.01*A,AIRPORT,79ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,STUTSMAN,ND,CARRINGTON,REIMERS,PR,PR,"CARRINGTON, ND 58421",1590,TWIN CITIES,09,SE, , , , , , , , ,N, , , , , , , , , , , , ,47.32333,-99.0012222222,38,ND,0,10
203,17417.3*A,AIRPORT,ND43,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WARD,ND,MINOT,FLYING S RANCH,PR,PR,"MINOT, ND 58701",1840,BILLINGS,05,SW, , , , , , , , ,N,004, , , , , ,005, , ,001000,000050, ,48.200009166700006,-101.40433055560001,38,ND,0,10
242,17451.996*A,AIRPORT,NA77,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOWMAN,ND,RHAME,MC GEE STRIP,PR,PR,"RHAME, ND 58651",3014,BILLINGS,15,SW,07/1982, , , , , , , ,N,001, , , , , , , , , , , ,45.9866683333,-103.84576055560001,38,ND,0,10
286,17475.*A,AIRPORT,6D8,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BARNES,ND,VALLEY CITY,BARNES COUNTY MUNI,PU,PU,"VALLEY CITY, ND 58072",1400,TWIN CITIES,01,NW, , ,NGY3,N,N,N,Y, ,N,043,002, , , , , , ,000300,004500,003000,000050,46.941007777799996,-98.0176261111,38,ND,0,10
30,17265.*A,AIRPORT,BIS,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BURLEIGH,ND,BISMARCK,BISMARCK MUNI,PU,PU,"BISMARCK, ND 58502",1661,TWIN CITIES,03,SE, ,I B S 05/1973,NGPSY3,N,N,Y,Y,R,Y,046,019,007, , ,017, ,002932,009696,012651,022609,004470,46.7727330556,-100.74573805560001,38,ND,174567,10
158,17374.01*A,AIRPORT,1ND3,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,KINDRED,ANDVIK,PR,PR,"KINDRED, ND 58051-9330",980,TWIN CITIES,04,W, , , , , , , , ,N,001, , , , , , , , , , , ,46.6477463889,-97.130645,38,ND,0,10
197,17406.8*A,AIRPORT,ND40,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,STUTSMAN,ND,MEDINA,RAU FIELD,PR,PR,"MEDINA, ND 58467",1855,TWIN CITIES,05,SE, , , ,N,N,N,N, ,N,004, , , , , , , , ,000150,000050, ,46.8166508333,-99.2503888889,38,ND,0,10
202,17415.*A,AIRPORT,88ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CAVALIER,ND,MILTON,GOODMAN STRIP,PR,PR,"MILTON, ND 58260",1560,TWIN CITIES,07,NE, , , , , , , , ,N,001, , , , , , , , , , , ,48.7088825,-97.99398972220001,38,ND,0,10
257,17460.5*A,AIRPORT,NA05,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RANSOM,ND,SHELDON,KRAIG FARMS,PR,PR, ,1060,TWIN CITIES,03,NE, , , , , , , , ,N,002, , , , , , , , , , , ,46.6121930556,-97.43564805560001,38,ND,0,10
149,17365.55*A,AIRPORT,53ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WELLS,ND,HURDSFIELD,R. LEEP STRIP,PR,PR,"HURDSFIELD, ND 58451",1894,TWIN CITIES,07,N, , , , , , , , ,N,001, , , , , , , , , , , ,47.5480530556,-99.9470686111,38,ND,0,10
79,17309.75*A,AIRPORT,37ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,DUNN,ND,DUNN CENTER,SUNSET STRIP,PR,PR,"HALLIDAY, ND 58636",2360,BILLINGS,09,SE, , , , , , , , ,N,001, , , , , , , , , , , ,47.231956111100004,-102.5090725,38,ND,0,10
174,17394.*A,AIRPORT,7NA3,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RANSOM,ND,LISBON,HIAM PVT,PR,PR,"LISBON, ND 58054",1251,TWIN CITIES,06,S,04/1986, , , , , , , ,N,001, , , , , , , , , , , ,46.3499655556,-97.6942641667,38,ND,0,10
171,17390.1*A,AIRPORT,4N4,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RICHLAND,ND,LIDGERWOOD,LIDGERWOOD MUNI,PU,PU,"LIDGERWOOD, ND 58053",1081,TWIN CITIES,01,NW,11/1984, , , , , , , ,N, , , , , , , , , , ,000300, ,46.0891269444,-97.1664777778,38,ND,0,10
184,17400.01*A,AIRPORT,NA38,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BENSON,ND,MADDOCK,SABBE BROTHERS LANDING STRIP,PR,PR,"MADDOCK, ND 58348",1572,TWIN CITIES,04,E,04/1982, , , , , , , ,N,002, , , , , , , , , , , ,47.950561666700004,-99.4295772222,38,ND,0,10
213,17428.*A,AIRPORT,5B5,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,LOGAN,ND,NAPOLEON,NAPOLEON MUNI,PU,PU,"NAPOLEON, ND 58561",1983,TWIN CITIES,01,S, , , , , , , , ,N,001, , , , , , , ,000050,000100,000200, ,46.4944238889,-99.76010861110001,38,ND,0,10
155,17372.*A,AIRPORT,9Y1,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,DUNN,ND,KILLDEER,WEYDAHL FIELD,PU,PU,"MANNING, ND 58642",2256,BILLINGS,02,NW, , , , , , , , ,N,002, , , , , , , ,000040,000200,000300, ,47.3927913889,-102.7707419444,38,ND,0,10
255,17459.011*A,AIRPORT,NA89,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOWMAN,ND,SCRANTON,HOLZMAN AIRSTRIP,PR,PR,"REEDER, ND 58649",2840,BILLINGS,08,NE,08/1982, , , , , , , ,N,001, , , , , , , , , , , ,46.2222297222,-103.02127638889999,38,ND,0,10
134,17356.7*A,AIRPORT,6H8,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,EMMONS,ND,HAZELTON,HAZELTON MUNI,PU,PU,"HAZELTON, ND 58544",2003,TWIN CITIES,01,E, , , ,N,N,N,N, ,N,001, , , , , , , ,000010,000030,000100,000060,46.481934444400004,-100.26983416670001,38,ND,0,10
129,17354.95*A,AIRPORT,3NA6,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WELLS,ND,HAMBERG,RISOVI RANCH STRIP,PR,PR,"FESSENDEN, ND 58438",1560,TWIN CITIES,02,E,03/1985, , , , , , , ,N,001, , , , , , , , , , , ,47.770559166700004,-99.4617922222,38,ND,0,10
106,17337.23*A,AIRPORT,ND87,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC LEAN,ND,GARRISON,INDIAN HILL RESORT,PR,PR,"GARRISON, ND 58540",2010,BILLINGS,35,W,06/1991, , , , , , , ,N, , , , , , , , , , , , ,47.6055613889,-102.10461611110001,38,ND,0,10
201,17410.*A,AIRPORT,4R6,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,SARGENT,ND,MILNOR,MILNOR MUNI,PU,PU,"MILNOR, ND 58060",1091,TWIN CITIES,01,E, , , ,N,N,N,N, ,N,002, , , , , , , ,000010,000240,000070, ,46.2582941667,-97.4378686111,38,ND,0,10
185,17400.02*A,AIRPORT,0NA5,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BENSON,ND,MADDOCK,SORLIE,PR,PR,"MADDOCK, ND 58348",1580,TWIN CITIES,03,NW,03/1983, , , , , , , ,N, , , , , , , , , , , , ,48.0011202778,-99.5629113889,38,ND,0,10
208,17418.5*A,AIRPORT,D06,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WALSH,ND,MINTO,MINTO MUNI,PR,PU,"MINTO, ND 58261",820,TWIN CITIES,01,W, , , , , , , , ,N,007,001, , , , , , , ,001600,000600, ,48.2833213889,-97.39202111110001,38,ND,0,10
148,17365.4*A,AIRPORT,52ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,HUNTER,RICHTSMEIER,PR,PR,"HUNTER, ND 58048-9761",1047,TWIN CITIES,03,W, , , , , , , , ,N,001, , , , , , , , , , , ,47.1894241667,-97.2895325,38,ND,0,10
46,17278.8*A,AIRPORT,NA81,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,TRAILL,ND,BUXTON,CENTRAL VALLEY AVIATION,PR,PR,"BUXTON, ND 58218",920,TWIN CITIES,02,NE,08/1982, , , , , , , ,N,002, , , , , , , , , , , ,47.628312222199995,-97.0864738889,38,ND,0,10
223,17434.3*A,AIRPORT,4V4,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,GRAND FORKS,ND,NORTHWOOD,NORTHWOOD MUNI-VINCE FIELD,PU,PU,"NORTHWOOD, ND 58267",1117,TWIN CITIES,01,SW, , ,NGY,N,N, , , ,N,012, , , , , , , ,000020,001600,000200,000010,47.7242333333,-97.5904222222,38,ND,0,10
55,17285.52*A,AIRPORT,23ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,OLIVER,ND,CENTER,MINNKOTA PRIVATE,PR,PR,"GRAND FORKS, ND 58208-3200",2110,BILLINGS,03,SE,07/1986, , , , , , , ,N, , , , , , , , , , ,000300, ,47.0822172222,-101.2670922222,38,ND,0,10
1,17240.*A,AIRPORT,ND07,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,ABSARAKA,PUNTON PRIVATE,PR,PR,"AYR, ND 58007-9720",1105,TWIN CITIES,02,NW,08/1994, , , , , , , ,N,001, , , , , , , , , , , ,47.0027777778,-97.4072222222,38,ND,0,10
73,17302.*A,AIRPORT,DVL,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RAMSEY,ND,DEVILS LAKE,DEVILS LAKE RGNL,PU,PU,"DEVILS LAKE, ND 58301",1456,TWIN CITIES,02,W, ,I A S 01/2004,NGY3,N,N,N,Y, ,N,051,008, , , , , , ,002437,015300,004755,000850,48.1143055556,-98.90869444440001,38,ND,3327,10
267,17467.51*A,AIRPORT,NA71,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,KIDDER,ND,TAPPEN,M. BODVIG AIRSTRIP,PR,PR,"TAPPEN, ND 58487",1750,TWIN CITIES,08,N,07/1982, , , , , , , ,N,001, , , , , , , , , , , ,46.9958202778,-99.6712177778,38,ND,0,10
116,17349.13*A,AIRPORT,RDR,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,GRAND FORKS,ND,GRAND FORKS,GRAND FORKS AFB,MA,PR,"GRAND FORKS, ND 58201",913,TWIN CITIES,13,W, , , ,N,N,N,Y, ,Y, , , , , , , , , , , ,030000,47.9611666667,-97.40116666670001,38,ND,59,10
288,17484.1*A,AIRPORT,BWP,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RICHLAND,ND,WAHPETON,HARRY STERN,PU,PU,"WAHPETON, ND 58074",968,TWIN CITIES,01,S, , ,NGY,N,N,N,Y, ,N,027,003, , , ,005, , ,000600,006000,003400,000040,46.244108583300005,-96.60736080560001,38,ND,0,10
75,17304.*A,AIRPORT,DIK,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,STARK,ND,DICKINSON,DICKINSON - THEODORE ROOSEVELT RGNL,PU,PU,"DICKINSON, ND 58601-9282",2592,BILLINGS,05,S, ,III A S 07/2006,NGY3,N,N,N,Y, ,N,017,005, , , , , , ,009034,002000,001450,000100,46.7973888889,-102.8019527778,38,ND,5010,10
